ICD10,count
1486,76
1487,21
1488,31
1489,23
1490,156
1491,16
1492,51
1493,50
1494,10
1495,15
1496,96
1497,75
1498,118
1499,11
1500,99
1501,333
1502,130
1503,7
1504,30
1505,10
1506,38
1507,6
1508,13
1509,16
1510,429
1511,21
1512,164
1513,37
1514,155
1515,44
1516,47
1517,8
1518,30
1519,9
1520,25
1521,26
1522,10
1523,18
1524,11
1525,9
1526,17
1527,66
1528,6
1529,6
1530,11
1531,23
1532,59
1533,34
1534,17
1535,26
1536,146
1537,16
1538,17
1539,102
1540,10
1541,45
1542,37
1543,26
1544,10
1545,37
1546,19
1547,11
1548,7
1549,9
1550,7
1551,35
1552,11
1553,23
1554,15
1555,56
1556,40
1557,8
1558,10
1559,235
1560,6
1561,8
1562,198
1563,23
1564,45
1565,11
1566,14
1567,10
1568,6
1569,1
1570,544
1571,12
1572,113
1573,63
1574,216
1575,117
1576,1454
1577,85
1578,761
1579,15
1580,592
1581,1432
1582,267
1583,308
1584,193
1585,97
1586,57
1587,95
1588,401
1589,13
1590,50
1591,20
1592,26
1593,1971
1594,1371
1595,73
1596,61
1597,163
1598,139
1599,151
1600,12
1601,1925
1602,202
1603,146
1604,928
1605,14
1606,541
1607,124
1608,29
1609,412
1610,54
1611,91
1612,268
1613,10
1614,622
1615,110
1616,192
1617,331
1618,10
1619,839
1620,122
1621,59
1622,74
1623,212
1624,116
1625,60
1626,185
1627,62
1628,15
1629,323
1630,23
1631,59
1632,268
1633,20
1634,309
1635,95
1636,37
1637,90
1638,30
1639,50
1640,56
1641,59
1642,15
1643,933
1644,147
1645,204
1646,43
1647,231
1648,230
1649,108
1650,16
1651,10
1652,34
1653,12
1654,20
1655,13
1656,15
1657,821
1658,360
1659,98
1660,27
1661,65
1662,299
1663,47
1664,32
1665,10
1666,71
1667,6
1668,12
1669,9
1670,13
1671,12
1672,932
1673,64
1674,318
1675,63
1676,381
1677,33
1678,256
1679,23
1680,15
1681,65
1682,9
1683,122
1684,10
1685,6
1686,46
1687,6
1688,93
1689,61
1690,14
1691,7
1692,57
1693,9
1694,7
1695,21
1696,12
1697,33
1698,18
1699,35
1700,15
1701,11
1702,73
1703,8
1704,8
1705,7
1706,23
1707,8
1708,49
1709,20
1710,15
1711,6
1712,26
1713,115
1714,50
1715,38
1716,64
1717,26
1718,35
1719,32
1720,22
1721,26
1722,50
1723,131
1724,31
1725,8
1726,9
1727,48
1728,23
1729,46
1730,44
1731,22
1732,20
1733,47
1734,6
1735,15
1736,7
1737,11
1738,9
1739,26
1740,6
1741,11
1742,9
1743,14
1744,27
1745,7
1746,7
1747,6
1748,94
1749,15
1750,57
1751,107
1752,8
1753,8
1754,11
1755,23
1756,57
1757,73
1758,9
1759,50
1760,80
1761,24
1762,50
1763,11
1764,22
1765,68
1766,11
1767,13
1768,26
1769,16
1770,63
1771,14
1772,14
1773,8
1774,19
1775,70
1776,16
1777,10
1778,6
1779,9
1780,12
1781,99
1782,38
1783,32
1784,23
1785,232
1786,9
1787,77
1788,16
1789,24
1790,50
1791,30
1792,413
1793,31
1794,54
1795,201
1796,34
1797,81
1798,25
1799,126
1800,27
1801,6
1802,38
1803,55
1804,78
1805,12
1806,7
1807,9
1808,30
1809,11
1810,53
1811,6
1812,18
1813,7
1814,7
1815,143
1816,23
1817,8
1818,9
1819,33
1820,16
1821,18
1822,10
1823,19
1824,54
1825,12
1826,13
1827,20
1828,7
1829,284
1830,38
1831,12
1832,61
1833,33
1834,21
1835,32
1836,13
1837,37
1838,27
1839,9
1840,16
1841,16
1842,6
1843,77
1844,16
1845,15
1846,9
1847,10
1848,12
1849,16
1850,43
1851,22
1852,16
1853,90
1854,16
1855,23
1856,8
1857,14
1858,9
1859,10
1860,21
1861,6
1862,23
1863,14
1864,6
1865,39
1866,31
1867,46
1868,10
1869,7
1870,9
1871,123
1872,8
1873,35
1874,20
1875,18
1876,19
1877,22
1878,91
1879,21
1880,9
1881,27
1882,6
1883,24
1884,35
1885,6
1886,180
1887,34
1888,35
1889,22
1890,24
1891,50
1892,6
1893,7
1894,20
1895,7
1896,6
1897,36
1898,7
1899,8
1900,10
1901,7
1902,9
1903,44
1904,15
1905,12
1906,16
1907,72
1908,11
1909,15
1910,34
1911,11
1912,14
1913,69
1914,7
1915,6
1916,6
1917,25
1918,11
1919,38
1920,90
1921,6
1922,8
1923,19
1924,11
1925,18
1926,8
1927,43
1928,29
1929,11
1930,80
1931,16
1932,10
1933,45
1934,170
1935,28
1936,39
1937,7
1938,66
1939,24
1940,124
1941,24
1942,72
1943,24
1944,42
1945,21
1946,10
1947,9
1948,7
1949,19
1950,8
1951,122
1952,3798
1953,128
1954,773
1955,304
1956,111
1957,1844
1958,624
1959,10
1960,1106
1961,44
1962,338
1963,697
1964,33
1965,16
1966,53
1967,46
1968,127
1969,63
1970,7
1971,11
1972,11
1973,7
1974,24
1975,8
1976,476
1977,284
1978,93
1979,75
1980,21
1981,609
1982,380
1983,64
1984,11
1985,16
1986,12
1987,191
1988,24
1989,320
1990,21
1991,12
1992,97
1993,47
1994,6
1995,108
1996,18
1997,6
1998,229
1999,20
2000,6
2001,30
2002,744
2003,181
2004,16
2005,9
2006,509
2007,28
2008,36
2009,11
2010,24
2011,45
2012,37
2013,28
2014,187
2015,76
2016,15
2017,14
2018,18
2019,20
2020,35
2021,32
2022,6
2023,974
2024,30
2025,41
2026,32
2027,368
2028,200
2029,51
2030,9
2031,6
2032,223
2033,43
2034,42
2035,8
2036,8
2037,10
2038,12
2039,74
2040,20
2041,14
2042,16
2043,23
2044,74
2045,14
2046,50
2047,82
2048,20
2049,43
2050,47
2051,27
2052,313
2053,18
2054,28
2055,125
2056,57
2057,30
2058,20
2059,6
2060,64
2061,36
2062,11
2063,14
2064,166
2065,44
2066,16
2067,25
2068,17
2069,19
2070,37
2071,8
2072,162
2073,26
2074,18
2075,27
2076,33
2077,26
2078,6
2079,14
2080,32
2081,20
2082,223
2083,130
2084,9
2085,56
2086,9
2087,37
2088,31
2089,142
2090,23
2091,19
2092,30
2093,26
2094,37
2095,134
2096,22
2097,8
2098,18
2099,32
2100,14
2101,25
2102,6
2103,51
2104,15
2105,9
2106,8
2107,18
2108,16
2109,9
2110,6
2111,2296
2112,1954
2113,72
2114,59
2115,201
2116,357
2117,266
2118,84
2119,85
2120,6
2121,11
2122,11
2123,15
2124,42
2125,197
2126,14
2127,42
2128,70
2129,54
2130,7
2131,14
2132,134
2133,42
2134,43
2135,34
2136,11
2137,2569
2138,978
2139,229
2140,588
2141,553
2142,285
2143,15
2144,245
2145,142
2146,68
2147,13
2148,12
2149,84
2150,6
2151,20
2152,13
2153,28
2154,12
2155,110
2156,9
2157,28
2158,18
2159,32
2160,16
2161,10
2162,6
2163,62
2164,24
2165,17
2166,12
2167,106
2168,13
2169,10
2170,64
2171,10
2172,283
2173,17
2174,33
2175,33
2176,68
2177,109
2178,16
2179,60
2180,9
2181,18
2182,16
2183,14
2184,52
2185,251
2186,30
2187,23
2188,31
2189,79
2190,19
2191,11
2192,43
2193,24
2194,35
2195,29
2196,118
2197,35
2198,47
2199,19
2200,13
2201,73
2202,12
2203,16
2204,18
2205,26
2206,42
2207,13
2208,16
2209,66
2210,52
2211,6
2212,29
2213,14
2214,100
2215,60
2216,15
2217,71
2218,24
2219,37
2220,7
2221,17
2222,193
2223,7
2224,24
2225,36
2226,16
2227,15
2228,15
2229,38
2230,24
2231,15
2232,46
2233,19
2234,23
2235,331
2236,39
2237,56
2238,43
2239,56
2240,21
2241,72
2242,20
2243,15
2244,12
2245,251
2246,49
2247,94
2248,57
2249,12
2250,25
2251,15
2252,179
2253,32
2254,19
2255,23
2256,38
2257,29
2258,6
2259,19
2260,124
2261,12
2262,42
2263,33
2264,12
2265,16
2266,90
2267,53
2268,24
2269,8
2270,151
2271,50
2272,18
2273,52
2274,14
2275,320
2276,63
2277,72
2278,76
2279,50
2280,28
2281,21
2282,11
2283,17
2284,8
2285,957
2286,65
2287,7
2288,40
2289,13
2290,71
2291,675
2292,21
2293,32
2294,17
2295,16
2296,98
2297,12
2298,12
2299,54
2300,15
2301,152
2302,49
2303,25
2304,49
2305,77
2306,38
2307,84
2308,11
2309,23
2310,7
2311,8
2312,15
2313,8
2314,7
2315,52
2316,43
2317,52
2318,35
2319,6
2320,88
2321,40
2322,12
2323,9
2324,12
2325,56
2326,24
2327,6
2328,22
2329,24
2330,12
2331,204
2332,23
2333,47
2334,21
2335,56
2336,62
2337,138
2338,20
2339,19
2340,65
2341,24
2342,34
2343,31
2344,56
2345,16
2346,16
2347,13
2348,116
2349,15
2350,9
2351,45
2352,25
2353,21
2354,2351
2355,111
2356,24
2357,22
2358,119
2359,70
2360,1927
2361,7
2362,19
2363,37
2364,14
2365,86
2366,76
2367,10
2368,233
2369,34
2370,72
2371,78
2372,12
2373,21
2374,11
2375,7
2376,64
2377,10
2378,15
2379,31
2380,247
2381,30
2382,68
2383,25
2384,33
2385,39
2386,24
2387,11
2388,11
2389,20
2390,17
2391,10
2392,48
2393,369
2394,23
2395,28
2396,203
2397,44
2398,21
2399,29
2400,14
2401,6
2402,317
2403,28
2404,57
2405,63
2406,69
2407,65
2408,34
2409,178
2410,25
2411,21
2412,7
2413,20
2414,14
2415,9
2416,27
2417,47
2418,7
2419,68
2420,6
2421,8
2422,42
2423,7
2424,148
2425,11
2426,10
2427,17
2428,17
2429,8
2430,51
2431,31
2432,406
2433,37
2434,54
2435,18
2436,37
2437,143
2438,77
2439,34
2440,44
2441,6
2442,7
2443,30
2444,51
2445,36
2446,6
2447,25
2448,7
2449,15
2450,16
2451,6
2452,88
2453,10
2454,7
2455,11
2456,11
2457,8
2458,92
2459,27
2460,23
2461,10
2462,21
2463,22
2464,6
2465,9
2466,120
2467,15
2468,8
2469,45
2470,6
2471,6
2472,39
2473,113
2474,7
2475,10
2476,12
2477,24
2478,40
2479,19
2480,14
2481,8
2482,80
2483,52
2484,18
2485,11
2486,49
2487,10
2488,7
2489,18
2490,11
2491,50
2492,16
2493,82
2494,30
2495,12
2496,24
2497,11
2498,55
2499,9
2500,10
2501,20
2502,6
2503,9
2504,6
2505,44
2506,124
2507,31
2508,10
2509,8
2510,23
2511,21
2512,26
2513,8
2514,121
2515,30
2516,11
2517,7
2518,38
2519,30
2520,2682
2521,11
2522,2564
2523,71
2524,59
2525,42
2526,18
2527,6
2528,8
2529,72
2530,8
2531,22
2532,32
2533,19
2534,9
2535,9
2536,29
2537,6
2538,8
2539,7
2540,7
2541,14
2542,89
2543,18
2544,27
2545,20
2546,21
2547,50
2548,45
2549,41
2550,17
2551,77
2552,7
2553,40
2554,12
2555,10
2556,45
2557,42
2558,29
2559,58
2560,8
2561,9
2562,34
2563,72
2564,17
2565,7
2566,10
2567,25
2568,8
2569,136
2570,43
2571,36
2572,47
2573,6
2574,29
2575,63
2576,31
2577,31
2578,36
2579,8
2580,19
2581,50
2582,16
2583,24
2584,413
2585,12
2586,142
2587,239
2588,82
2589,49
2590,10
2591,11
2592,12
2593,75
2594,8
2595,39
2596,29
2597,18
2598,53
2599,16
2600,11
2601,22
2602,254
2603,73
2604,11
2605,16
2606,25
2607,104
2608,42
2609,37
2610,13
2611,24
2612,163
2613,46
2614,9
2615,26
2616,28
2617,26
2618,6
2619,15
2620,26
2621,15
2622,52
2623,9
2624,6
2625,18
2626,20
2627,11
2628,34
2629,23
2630,10
2631,28
2632,12
2633,7
2634,46
2635,14
2636,10
2637,14
2638,17
2639,26
2640,6
2641,9
2642,15
2643,55
2644,6
2645,12
2646,7
2647,25
2648,66
2649,16
2650,20
2651,8
2652,9
2653,40
2654,15
2655,13
2656,7
2657,1273
2658,743
2659,26
2660,25
2661,23
2662,18
2663,27
2664,14
2665,384
2666,12
2667,55
2668,6
2669,35
2670,10
2671,63
2672,8
2673,14
2674,20
2675,270
2676,6
2677,21
2678,43
2679,178
2680,12
2681,32
2682,9
2683,130
2684,8
2685,25
2686,90
2687,6
2688,24
2689,257
2690,22
2691,9
2692,8
2693,13
2694,17
2695,155
2696,27
2697,86
2698,33
2699,13
2700,49
2701,134
2702,23
2703,35
2704,10
2705,11
2706,13
2707,30
2708,34
2709,25
2710,6
2711,79
2712,6
2713,26
2714,18
2715,16
2716,48
2717,7
2718,15
2719,11
2720,138
2721,10
2722,8
2723,10
2724,19
2725,20
2726,26
2727,39
2728,31
2729,61
2730,13
2731,10
2732,8
2733,7
2734,17
2735,65
2736,7
2737,18
2738,18
2739,255
2740,14
2741,28
2742,44
2743,8
2744,17
2745,53
2746,23
2747,61
2748,219
2749,188
2750,10
2751,19
2752,37
2753,17
2754,11
2755,120
2756,18
2757,18
2758,14
2759,6
2760,15
2761,135
2762,9
2763,78
2764,12
2765,60
2766,58
2767,67
2768,68
2769,52
2770,14
2771,18
2772,9
2773,124
2774,27
2775,27
2776,22
2777,47
2778,56
2779,10
2780,6
2781,7
2782,8
2783,12
2784,165
2785,33
2786,17
2787,8
2788,15
2789,32
2790,39
2791,7
2792,107
2793,36
2794,18
2795,42
2796,11
2797,60
2798,19
2799,10
2800,10
2801,21
2802,122
2803,37
2804,30
2805,20
2806,10
2807,9
2808,8
2809,11
2810,50
2811,14
2812,10
2813,9
2814,76
2815,9
2816,17
2817,20
2818,26
2819,28
2820,70
2821,61
2822,9
2823,71
2824,16
2825,13
2826,11
2827,25
2828,48
2829,11
2830,14
2831,18
2832,88
2833,20
2834,51
2835,6
2836,40
2837,164
2838,70
2839,19
2840,71
2841,44
2842,30
2843,57
2844,8
2845,12
2846,11
2847,18
2848,7
2849,26
2850,15
2851,6
2852,52
2853,64
2854,75
2855,13
2856,12
2857,18
2858,15
2859,12
2860,37
2861,11
2862,6
2863,19
2864,16
2865,9
2866,68
2867,22
2868,36
2869,9
2870,40
2871,21
2872,18
2873,24
2874,9
2875,7
2876,7
2877,27
2878,7
2879,16
2880,79
2881,9
2882,53
2883,16
2884,38
2885,15
2886,11
2887,42
2888,10
2889,132
2890,22
2891,8
2892,6
2893,9
2894,38
2895,7
2896,14
2897,15
2898,9
2899,59
2900,20
2901,17
2902,11
2903,8
2904,43
2905,21
2906,10
2907,72
2908,11
2909,39
2910,9
2911,10
2912,64
2913,11
2914,15
2915,20
2916,47
2917,18
2918,15
2919,11
2920,155
2921,33
2922,20
2923,38
2924,29
2925,31
2926,22
2927,6
2928,7
2929,83
2930,8
2931,12
2932,9
2933,48
2934,93
2935,42
2936,15
2937,7
2938,20
2939,14
2940,35
2941,20
2942,14
2943,152
2944,33
2945,10
2946,14
2947,13
2948,16
2949,57
2950,108
2951,9
2952,48
2953,40
2954,32
2955,18
2956,7
2957,6
2958,39
2959,27
2960,9
2961,9
2962,103
2963,12
2964,37
2965,52
2966,105
2967,17
2968,61
2969,17
2970,7
2971,32
2972,25
2973,91
2974,17
2975,74
2976,48
2977,19
2978,12
2979,8
2980,12
2981,33
2982,24
2983,205
2984,12
2985,15
2986,41
2987,17
2988,22
2989,8
2990,26
2991,21
